job_id,job_title,skills,years_exp_num,experience_level,company,mandatory_qualification
S-129,"Opening for PeopleSoft Finance Technical,Consultant","ai, ui",4,Junior,LTIMindtree,Any
S-130,APEX Developer,"java, sql, css, javascript, ai, excel, html, ml",4,Junior,LTIMindtree,Any
S-131,Business Analyst- SME-Broker-Insurance,"sql, ai, ui",2,Entry level,LTIMindtree,Any
S-132,Java Developer,"java, sql, linux, ai",12,Mid-Senior level,LTIMindtree,Any
S-133,Oracle EBS Apps Technical Consultant,"sql, ui, excel, ml",6,Mid-level,LTIMindtree,Any
S-134,PL/PM (Scrum Master),ui,11,Mid-Senior level,LTIMindtree,Any
S-135,Workday Consultant,"scala, ai, ui",8,Mid-level,LTIMindtree,Any
S-136,Java Back-end Developer,"java, sql, linux, ai",11,Mid-Senior level,LTIMindtree,Any
S-137,Obiee Developer,ai,10,Mid-level,LTIMindtree,Any
S-138,UI UX Designer,"ui, excel",13,Senior,LTIMindtree,Any
S-139,Infra Cloud Architect,"java, ai, ui",8,Mid-level,LTIMindtree,Any
S-140,Looking for PHP Developer,"java, php, sql, mysql, css, linux, javascript, html, ml",10,Mid-level,LTIMindtree,Any
S-141,"Opening for Oracle Fusion HCM Technical Analyst in LTIM, India","sql, ui",9,Mid-level,LTIMindtree,Any
S-142,"Opening for Oracle Fusion HCM Technical Analyst in LTIM, India","sql, ui",13,Senior,LTIMindtree,Any
S-143,"Opening for Oracle Fusion HCM Technical Analyst in LTIM, India","sql, ui",3,Junior,LTIMindtree,Any
S-144,'Java Full stack Developer',"java, sql, ai, ui, excel, html, ml",2,Entry level,LTIMindtree,Any
S-145,Java Back-end Developer,"java, sql, linux, ai",8,Mid-level,LTIMindtree,Any
S-146,APEX Developer,"java, sql, css, javascript, ai, excel, html, ml",8,Mid-level,LTIMindtree,Any
S-147,Business Analyst-P&C Insurance-Billing,"sql, ui, ml",15,Senior,LTIMindtree,Any
S-148,Solace Admin,"ui, excel",9,Mid-level,LTIMindtree,Any
S-149,Agile Project Management required for Delhi,"ai, ui, excel",6,Mid-level,LTIMindtree,Any
S-150,Workday Consultant,"scala, ai, ui",4,Junior,LTIMindtree,Any
S-151,Workday Consultant,"scala, ai, ui",13,Senior,LTIMindtree,Any
S-152,Technical Director,"java, sql, ai, ui",9,Mid-level,LTIMindtree,Any
S-153,Sharepoint Developer,"ai, ui, excel",7,Mid-level,LTIMindtree,Any
S-154,Sharepoint Developer,"ai, ui, excel",12,Mid-Senior level,LTIMindtree,Any
S-155,Solace Admin,"ui, excel",4,Junior,LTIMindtree,Any
S-156,PL/PM (Scrum Master),ui,2,Entry level,LTIMindtree,Any
S-157,LTIMindtree Hiring SAP Project Manager,ui,4,Junior,LTIMindtree,Any
S-158,Oracle EBS Apps Technical Consultant,"sql, ui, excel, ml",6,Mid-level,LTIMindtree,Any
S-159,Solace Admin,"ui, excel",15,Senior,LTIMindtree,Any
S-160,Solace Admin,"ui, excel",4,Junior,LTIMindtree,Any
S-161,Business Analyst-Duckcreek-Claims,"ai, ui",2,Entry level,LTIMindtree,Any
S-162,Business Analyst- SME-Broker-Insurance,"sql, ai, ui",6,Mid-level,LTIMindtree,Any
S-163,Fusion HCM Technical,ui,11,Mid-Senior level,LTIMindtree,Any
S-164,WMS Functional,ui,8,Mid-level,LTIMindtree,Any
S-165,LTIMindtree Hiring SAP Project Manager,ui,15,Senior,LTIMindtree,Any
S-166,Opening for WMS Functional Consultant in LTIM,ui,8,Mid-level,LTIMindtree,Any
S-167,Cloud Architect,"ai, ui, excel",12,Mid-Senior level,LTIMindtree,Any
S-168,EBS Finance Functional,"ai, ui",10,Mid-level,LTIMindtree,Any
S-169,EBS Finance Functional,"ai, ui",11,Mid-Senior level,LTIMindtree,Any
S-170,LTIMindtree Hiring SAP Project Manager,ui,11,Mid-Senior level,LTIMindtree,Any
S-171,Cloud Architect,"ai, ui, excel",13,Senior,LTIMindtree,Any
S-172,SAP Data Specialist,"scala, ai, ui, excel",14,Senior,LTIMindtree,Any
S-173,Python Developer,"python, flask, sql, django, ai, ui, excel",4,Junior,LTIMindtree,Any
S-174,LTIMindtree Hiring SAP Project Manager,"scala, ai, excel",8,Mid-level,LTIMindtree,Any
S-175,LTIMindtree Hiring SAP Project Manager,"scala, ai, excel",2,Entry level,LTIMindtree,Any
S-176,Opening for OTM Functional Consultant,"ai, ui",5,Junior,LTIMindtree,Any
S-177,OTM Project Lead,"ai, ui, excel, ml",14,Senior,LTIMindtree,Any
S-178,Java Full Stack with angular and springboot,"java, sql, ai, ui, excel",5,Junior,LTIMindtree,Any
S-179,Mainframe Developer- PAN India,"sql, ai, ui",15,Senior,LTIMindtree,Any
S-180,Sharepoint Developer,"ai, ui, excel",6,Mid-level,LTIMindtree,Any
S-181,Sharepoint Developer,"ai, ui, excel",8,Mid-level,LTIMindtree,Any
S-182,Sharepoint Developer,"css, react, ai, ui, html, ml",8,Mid-level,LTIMindtree,Any
S-183,Job| Mainframe Developers | 3-5yrs | PAN India,"sql, ai, ui",14,Senior,LTIMindtree,Any
S-184,'Java Full stack Developer',"java, sql, ai, ui, excel, html, ml",12,Mid-Senior level,LTIMindtree,Any
S-185,LTIMindtree Hiring SAP Project Manager,"ai, ui",14,Senior,LTIMindtree,Any
S-186,LTIMindtree Hiring SAP Project Manager,ui,5,Junior,LTIMindtree,Any
S-187,WMS Functional,ui,14,Senior,LTIMindtree,Any
S-188,LTIMindtree Hiring SAP Project Manager,"ai, ui",8,Mid-level,LTIMindtree,Any
S-189,Python Developer,"python, flask, sql, django, ai, ui, excel",12,Mid-Senior level,LTIMindtree,Any
S-190,Cloud Architect,"ai, ui, excel",4,Junior,LTIMindtree,Any
S-191,SAP Data Specialist,"scala, ai, ui, excel",7,Mid-level,LTIMindtree,Any
S-192,Opening for Fusion HCM Technical Consultant,"ui, excel",13,Senior,LTIMindtree,Any
S-193,Python Architect/Python Tech Lead/Python Technical Lead,"python, scala, pandas, numpy, sql, ui",3,Junior,LTIMindtree,Any
S-194,LTIMindtree Hiring SAP Project Manager,"ai, ui",11,Mid-Senior level,LTIMindtree,Any
S-195,Hyperion Essbase And Planning,"linux, ai, ui",14,Senior,LTIMindtree,Any
S-196,Oracle EBS Apps Technical Consultant,"sql, ui, excel, ml",15,Senior,LTIMindtree,Any
S-197,'Java Full stack Developer',"java, sql, ai, ui, excel, html, ml",10,Mid-level,LTIMindtree,Any
S-198,'Java Full stack Developer',"java, sql, ai, ui, excel, html, ml",6,Mid-level,LTIMindtree,Any
S-199,EBS Finance Functional,"ai, ui",7,Mid-level,LTIMindtree,Any
S-200,EBS Finance Functional,"ai, ui",13,Senior,LTIMindtree,Any
S-201,JDE Technical PAN India,"ai, ui",13,Senior,LTIMindtree,Any
S-202,JDE Technical PAN India,"ai, ui",13,Senior,LTIMindtree,Any
S-203,LTIMindtree Hiring SAP Project Manager,"scala, ai, excel",13,Senior,LTIMindtree,Any
S-204,Oracle Apps Technical OAF,"java, sql, ai, ui, excel",5,Junior,LTIMindtree,Any
S-205,WMS Lead Consultant,"ai, excel",15,Senior,LTIMindtree,Any
S-206,Mainframe Developer- PAN India,"sql, ai, ui",15,Senior,LTIMindtree,Any
S-207,Cloud Architect,"ai, ui, excel",12,Mid-Senior level,LTIMindtree,Any
S-208,Java Full Stack with angular and springboot,"java, sql, ai, ui, excel",11,Mid-Senior level,LTIMindtree,Any
S-209,GCP Professionals,"python, java, hadoop, spark, php, sql, ruby, javascript",8,Mid-level,LTIMindtree,Any
S-210,GCP Professionals,"python, java, hadoop, spark, php, sql, ruby, javascript",13,Senior,LTIMindtree,Any
S-211,Oracle Apps Technical OAF,"java, sql, ai, ui, excel",10,Mid-level,LTIMindtree,Any
S-212,Mainframe Developer- PAN India,"sql, ai, ui",8,Mid-level,LTIMindtree,Any
S-213,Java Full Stack with angular and springboot,"java, sql, ai, ui, excel",15,Senior,LTIMindtree,Any
S-216,LTIMindtree Hiring - Servicenow Developers,"java, css, javascript, html, ml",2,Entry level,LTIMindtree,Any
S-217,LTIMindtree Hiring SAP Project Manager,"ai, ui",2,Entry level,LTIMindtree,Any
S-218,Hyperion Essbase And Planning,"linux, ai, ui",10,Mid-level,LTIMindtree,Any
S-219,Hyperion Essbase And Planning,"linux, ai, ui",12,Mid-Senior level,LTIMindtree,Any
S-220,Hyperion Essbase And Planning,"linux, ai, ui",15,Senior,LTIMindtree,Any
S-221,Primavera Unifier Architect,"sql, ai, ui",10,Mid-level,LTIMindtree,Any
S-222,Sharepoint Developer,"sql, ai, ui, power bi",5,Junior,LTIMindtree,Any
S-223,LTIMindtree Hiring SAP Project Manager,"scala, ai, excel",14,Senior,LTIMindtree,Any
S-224,Program Manager,"ai, ui, excel",10,Mid-level,LTIMindtree,Any
S-225,LTIMindtree Hiring SAP Project Manager,ui,4,Junior,LTIMindtree,Any
S-226,Sharepoint Developer,"css, react, ai, ui, html, ml",8,Mid-level,LTIMindtree,Any
S-227,Sharepoint Developer,"css, react, ai, ui, html, ml",7,Mid-level,LTIMindtree,Any
S-228,Talend Developer,"spark, sql, ai",9,Mid-level,LTIMindtree,Any
S-229,Oracle Apps Technical OAF,"java, sql, ai, ui, excel",12,Mid-Senior level,LTIMindtree,Any
S-230,LTIMindtree Hiring - Servicenow Developers,"java, css, javascript, html, ml",10,Mid-level,LTIMindtree,Any
S-231,Python Architect/Python Tech Lead/Python Technical Lead,"python, scala, pandas, numpy, sql, ui",15,Senior,LTIMindtree,Any
S-232,Mainframe Developer- PAN India,"sql, ai, ui",6,Mid-level,LTIMindtree,Any
S-233,COBOL400 Developer,sql,2,Entry level,LTIMindtree,Any
S-234,LTIMindtree Hiring SAP Project Manager- PAN India,ai,4,Junior,LTIMindtree,Any
S-235,LTIMindtree Hiring SAP Project Manager,"scala, ai, excel",11,Mid-Senior level,LTIMindtree,Any
S-236,Oracle Apps Technical OAF,"java, sql, ai, ui, excel",13,Senior,LTIMindtree,Any
S-237,LTIMindtree Hiring SAP Project Manager- PAN India,ai,9,Mid-level,LTIMindtree,Any
S-239,LTIMindtree Hiring SAP Project Manager,"ai, ui",12,Mid-Senior level,LTIMindtree,Any
S-240,Primavera Unifier Architect,"sql, ai, ui",7,Mid-level,LTIMindtree,Any
S-241,Oracle Apps Technical OAF,"java, sql, ai, ui, excel",9,Mid-level,LTIMindtree,Any
S-242,OTM Project Lead,"ai, ui, excel, ml",10,Mid-level,LTIMindtree,Any
S-243,Mainframe Developer- PAN India,"sql, ai, ui",5,Junior,LTIMindtree,Any
S-244,Mainframe Developer- PAN India,"sql, ai, ui",2,Entry level,LTIMindtree,Any
S-245,GTM/OTM Functional Consultant,"ai, ui",15,Senior,LTIMindtree,Any
S-246,PLSQL Development - LTIMindtree.,"java, sql, css, ai, ui, html, ml",2,Entry level,LTIMindtree,Any
S-247,Mainframe Developer- PAN India,"sql, ai, ui",11,Mid-Senior level,LTIMindtree,Any
S-248,Mainframe Developer- PAN India,"sql, ai, ui",5,Junior,LTIMindtree,Any
S-249,Business Analyst,"ai, ui",13,Senior,LTIMindtree,Any
S-250,Obiee Developer,ai,15,Senior,LTIMindtree,Any
S-251,EBS Finance Functional,"ai, ui",8,Mid-level,LTIMindtree,Any
S-252,LTIMindtree Hiring SAP Project Manager- PAN India,ai,3,Junior,LTIMindtree,Any
S-253,LTIMindtree Hiring SAP Project Manager- PAN India,ai,4,Junior,LTIMindtree,Any
S-254,Mainframe Developer- PAN India,"sql, ai, ui",2,Entry level,LTIMindtree,Any
S-255,JAVA Full stack Developer,"java, sql, ai, ui, excel",6,Mid-level,LTIMindtree,Any
S-256,LTIMindtree Hiring SAP Project Manager,"ai, ui",2,Entry level,LTIMindtree,Any
S-257,Mainframe Developer- PAN India,"sql, ai, ui",9,Mid-level,LTIMindtree,Any
S-258,Mainframe Developer- PAN India,"sql, ai, ui",2,Entry level,LTIMindtree,Any
S-259,Opening for Fusion Finance Functional Consultant,"ai, ui, excel",12,Mid-Senior level,LTIMindtree,Any
S-260,LTIMindtree Hiring - Servicenow Developers,"java, css, javascript, html, ml",2,Entry level,LTIMindtree,Any
S-261,"Opening for PSFT Finance Technical Consultant in LTIM, India","ai, ui",3,Junior,LTIMindtree,Any
S-262,JDE Technical PAN India,"ai, ui",3,Junior,LTIMindtree,Any
S-263,Cloud Architect,"ai, ui, excel",13,Senior,LTIMindtree,Any
S-264,Python Architect/Python Tech Lead/Python Technical Lead,"python, scala, pandas, numpy, sql, ui",7,Mid-level,LTIMindtree,Any
S-265,JDE Technical PAN India,"ai, ui",8,Mid-level,LTIMindtree,Any
S-266,LTI Hiring for Central Finance.,ai,6,Mid-level,LTIMindtree,Any
S-267,Oracle Apps Technical OAF,"java, sql, ai, ui, excel",2,Entry level,LTIMindtree,Any
S-268,Fusion Finance Architect,"ai, ui, excel",2,Entry level,LTIMindtree,Any
S-269,JDE Finance PAN India,"ai, ui, excel",4,Junior,LTIMindtree,Any
S-270,Pega CSSA Specialist,"sql, css, ml",15,Senior,LTIMindtree,Any
S-271,Pega CSSA Specialist,"sql, css, ml",3,Junior,LTIMindtree,Any
S-272,Data Modeler,"sql, ai, ui",6,Mid-level,LTIMindtree,Any
S-273,Fusion HCM Technical,"ui, excel",13,Senior,LTIMindtree,Any
S-274,SAP Project Manager,ai,11,Mid-Senior level,LTIMindtree,Any
S-275,Pega CSSA Specialist,"sql, css, ml",7,Mid-level,LTIMindtree,Any
S-276,PLSQL Development - LTIMindtree.,"java, sql, css, ai, ui, html, ml",8,Mid-level,LTIMindtree,Any
S-277,JDE Technical PAN India,"ai, ui",5,Junior,LTIMindtree,Any
S-278,Mainframe Developer- PAN India,"sql, ai, ui",8,Mid-level,LTIMindtree,Any
S-279,LTIMindtree Hiring SAP Project Manager,"ai, ui",12,Mid-Senior level,LTIMindtree,Any
S-280,OIC Developer,"ai, ui, excel, ml",9,Mid-level,LTIMindtree,Any
S-281,Solace Admin,"ui, excel",12,Mid-Senior level,LTIMindtree,Any
S-282,Data Modeler,"sql, ai, ui",2,Entry level,LTIMindtree,Any
S-283,Mainframe Developer- PAN India,"sql, ai, ui",7,Mid-level,LTIMindtree,Any
S-284,LTI Hiring for Central Finance.,ai,9,Mid-level,LTIMindtree,Any
S-285,Siebel Developer,"ai, ui",6,Mid-level,LTIMindtree,Any
S-286,Fusion Finance Architect,"ai, ui, excel",5,Junior,LTIMindtree,Any
S-289,SQL Developer,"java, sql, javascript, ai, ui, excel, html, ml",3,Junior,IDESLABS PRIVATE LIMITED,Any
S-290,Project Manager,"ai, ui, excel",7,Mid-level,IDESLABS PRIVATE LIMITED,Any
S-291,Project Manager,"ai, ui, excel",7,Mid-level,IDESLABS PRIVATE LIMITED,Any
S-292,Manual Tester,ai,12,Mid-Senior level,IDESLABS PRIVATE LIMITED,Any
S-293,Project Manager,"ai, ui, excel",2,Entry level,IDESLABS PRIVATE LIMITED,Any
S-294,Java Developer,"java, sql, mysql, ai, ui",10,Mid-level,IDESLABS PRIVATE LIMITED,Any
S-295,Pl/SQL Developer,"sql, ai, ui",13,Senior,IDESLABS PRIVATE LIMITED,Any
S-296,Project Manager,"ai, ui, excel",12,Mid-Senior level,IDESLABS PRIVATE LIMITED,Any
S-297,Associate Business Consultant,"ai, ui",7,Mid-level,IDESLABS PRIVATE LIMITED,Any
S-298,Delivery Manager,"ai, ui, excel",14,Senior,IDESLABS PRIVATE LIMITED,Any
S-299,Jr. Software Engineer,"ai, ui",4,Junior,IDESLABS PRIVATE LIMITED,Any
S-300,Test Engineer,ui,5,Junior,IDESLABS PRIVATE LIMITED,Any
S-301,React Developer,"css, react, ai, ui, excel",13,Senior,IDESLABS PRIVATE LIMITED,Any
S-302,Java developer,"java, ai, ui",12,Mid-Senior level,IDESLABS PRIVATE LIMITED,Any
S-303,Associate Business Consultant,"ai, ui",5,Junior,IDESLABS PRIVATE LIMITED,Any
S-304,WAS Admin,"ai, ui",4,Junior,IDESLABS PRIVATE LIMITED,Any
S-305,Backend Engineer,"sql, ai, ui, ml",11,Mid-Senior level,IDESLABS PRIVATE LIMITED,Any
S-306,Solution Analyst,"ai, ui, excel",4,Junior,IDESLABS PRIVATE LIMITED,Any
S-307,Project Manager,"ai, ui, excel",4,Junior,IDESLABS PRIVATE LIMITED,Any
S-308,SAP BASIS,"sql, ai, ui",5,Junior,IDESLABS PRIVATE LIMITED,Any
S-309,Sr. Test Engineer,"ai, ui",8,Mid-level,IDESLABS PRIVATE LIMITED,Any
S-310,Project Manager,"ai, ui, excel",5,Junior,IDESLABS PRIVATE LIMITED,Any
S-311,SAP MM CONSULTANT,"ai, ui",10,Mid-level,IDESLABS PRIVATE LIMITED,Any
S-312,SQL Server DBA,"sql, ai, ui",2,Entry level,IDESLABS PRIVATE LIMITED,Any
S-313,Windows Admin,"scala, ai, ui",9,Mid-level,IDESLABS PRIVATE LIMITED,Any
S-314,Associate Business Consultant,"ai, ui",8,Mid-level,IDESLABS PRIVATE LIMITED,Any
S-315,Project Manager,"ai, ui, excel",3,Junior,IDESLABS PRIVATE LIMITED,Any
S-316,Team Lead,"ai, ui",9,Mid-level,IDESLABS PRIVATE LIMITED,Any
S-317,Project Manager,"ai, ui, excel",2,Entry level,IDESLABS PRIVATE LIMITED,Any
