job_id,job_title,skills,years_exp_num,experience_level,company,mandatory_qualification
IT-37,Cloud Engineer,"azure, docker, gcp, kubernetes, aws, terraform",6,Mid-level,CockroachDB,Any
IT-38,Cloud Engineer,"azure, gcp, kubernetes, terraform, docker",4,Junior,Infosys,Any
IT-39,Cloud Engineer,"kubernetes, gcp, aws, azure, terraform, docker",8,Mid-level,AMD,Any
IT-40,Solutions Architect,"microservices, aws, system design, cloud, technical",14,Senior,Notion,Any
IT-41,Solutions Architect,"aws, technical, system design, microservices, cloud",9,Mid-Senior level,Salesforce,Any
IT-42,Solutions Architect,"microservices, technical, cloud, system design, aws",20,Senior,Canva,Any
IT-43,Data Scientist,"sql, machine learning, r, scikit-learn, pandas, tableau",4,Junior,IBM,Any
IT-44,Data Scientist,"tableau, machine learning, python, r, sql, pandas, scikit-learn",11,Mid-Senior level,Cisco,Any
IT-45,Data Scientist,"tableau, python, pandas, r, sql, scikit-learn, machine learning",9,Mid-Senior level,JetBrains,Any
IT-46,Data Engineer,"spark, python, kafka, sql",13,Mid-Senior level,IBM,Any
IT-47,Data Engineer,"kafka, airflow, spark, sql, etl, hadoop, python",10,Mid-Senior level,Capgemini,Any
IT-48,Data Engineer,"airflow, sql, kafka, hadoop, python, spark, etl",9,Mid-Senior level,Twitter,Any
IT-49,Machine Learning Engineer,"python, aws, pytorch, tensorflow, scikit-learn",6,Mid-level,Uber,Any
IT-50,Machine Learning Engineer,"aws, sql, scikit-learn, pytorch, python",12,Mid-Senior level,Miro,Any
IT-51,Machine Learning Engineer,"tensorflow, sql, scikit-learn, pytorch, python",12,Mid-Senior level,CockroachDB,Any
IT-52,Analytics Engineer,"sql, analytics, tableau, dbt, looker, python",12,Mid-Senior level,Kafka,Any
IT-53,Analytics Engineer,"looker, python, dbt, sql, analytics",4,Junior,Microsoft,Any
IT-54,Analytics Engineer,"python, dbt, tableau, sql",7,Mid-level,Accenture,Any
IT-55,Business Analyst,"analytics, sql, ui, excel, requirements analysis, tableau",2,Junior,Uber,Any
IT-56,Business Analyst,"sql, analytics, excel, ui, tableau",8,Mid-level,Discord,Any
IT-57,Business Analyst,"requirements analysis, tableau, ui, analytics, sql",7,Mid-level,Canva,Any
IT-58,Data Analyst,"tableau, python, excel, sql, statistics",8,Mid-level,Accenture,Any
IT-59,Data Analyst,"python, excel, tableau, sql",4,Junior,Oracle,Any
IT-60,Data Analyst,"sql, excel, tableau, power bi",6,Mid-level,LinkedIn,Any
IT-61,AI Engineer,"pytorch, python, deep learning, nlp, ml ops",8,Mid-level,Zoom,Any
IT-62,AI Engineer,"python, ml ops, deep learning, tensorflow",4,Junior,Tech Mahindra,Any
IT-63,AI Engineer,"tensorflow, deep learning, python, pytorch, ml ops",6,Mid-level,Qualcomm,Any
IT-64,ML Ops Engineer,"jenkins, mlflow, docker, kubernetes",4,Junior,EY,Any
IT-65,ML Ops Engineer,"mlflow, jenkins, docker, kubernetes, python, monitoring",4,Junior,Auth0,Any
IT-66,ML Ops Engineer,"jenkins, docker, kubernetes, python",4,Junior,IBM,Any
IT-67,Security Engineer,"network security, firewalls, python, encryption, sql",5,Mid-level,McKinsey,Any
IT-68,Security Engineer,"firewalls, network security, sql, encryption",13,Mid-Senior level,GitHub,Any
IT-69,Security Engineer,"python, firewalls, sql, encryption, network security",5,Mid-level,LinkedIn,Any
IT-70,Cybersecurity Analyst,"security, firewall, penetration testing, ids/ips",7,Mid-level,Spotify,Any
IT-71,Cybersecurity Analyst,"network, ids/ips, penetration testing, security",3,Junior,EY,Any
IT-72,Cybersecurity Analyst,"firewall, network, ids/ips, penetration testing",4,Junior,Capgemini,Any
IT-73,Application Security Engineer,"owasp, python, java, penetration testing, secure coding",3,Junior,Infosys,Any
IT-74,Application Security Engineer,"secure coding, penetration testing, java, python",7,Mid-level,HashiCorp,Any
IT-75,Application Security Engineer,"owasp, secure coding, penetration testing, python, java",13,Mid-Senior level,LinkedIn,Any
IT-76,Security Architect,"security design, aws, network security, compliance",12,Mid-Senior level,JetBrains,Any
IT-77,Security Architect,"encryption, compliance, aws, network security, security design",16,Senior,Capgemini,Any
IT-78,Security Architect,"aws, network security, compliance, encryption, security design",13,Mid-Senior level,Cognizant,Any
IT-79,Incident Response Specialist,"python, network security, malware analysis, forensics",6,Mid-level,Kafka,Any
IT-80,Incident Response Specialist,"forensics, malware analysis, network security, python",6,Mid-level,NTT Data,Any
IT-81,Incident Response Specialist,"forensics, malware analysis, network security, python",2,Junior,Zoom,Any
IT-82,System Administrator,"network, linux, security, windows, sql",8,Mid-level,Cisco,Any
IT-83,System Administrator,"security, windows, sql, linux",13,Mid-Senior level,HCL,Any
IT-84,System Administrator,"network, windows, sql, linux, security",2,Junior,Airbnb,Any
IT-85,Network Administrator,"cisco, routing, networking, firewall, tcp/ip",3,Junior,Confluent,Any
IT-86,Network Administrator,"firewall, networking, cisco, routing",7,Mid-level,Broadcom,Any
IT-87,Network Administrator,"networking, firewall, routing, cisco",12,Mid-Senior level,Roblox,Any
IT-88,Database Administrator,"mysql, backup/recovery, database design, sql, oracle",3,Junior,Cisco,Any
IT-89,Database Administrator,"backup/recovery, oracle, database design, mysql, sql",2,Junior,Elastic,Any
IT-90,Database Administrator,"oracle, backup/recovery, mysql, sql",6,Mid-level,IBM,Any
IT-91,Technical Support Engineer,"windows, networking, troubleshooting, linux, customer service",10,Mid-Senior level,JetBrains,Any
IT-92,Technical Support Engineer,"linux, networking, windows, customer service, troubleshooting",2,Junior,Databricks,Any
IT-93,Technical Support Engineer,"windows, linux, troubleshooting, networking",4,Junior,JetBrains,Any
IT-94,Infrastructure Engineer,"virtualization, networking, linux, terraform, windows",12,Mid-Senior level,McKinsey,Any
IT-95,Infrastructure Engineer,"windows, linux, networking, terraform",5,Mid-level,HCL,Any
IT-96,Infrastructure Engineer,"terraform, windows, virtualization, linux, networking",6,Mid-level,Meta,Any
IT-97,Site Reliability Engineer,"aws, docker, kubernetes, linux",13,Mid-Senior level,Cisco,Any
IT-98,Site Reliability Engineer,"linux, docker, aws, python, monitoring",9,Mid-Senior level,CockroachDB,Any
IT-99,Site Reliability Engineer,"python, aws, linux, docker, monitoring, kubernetes",12,Mid-Senior level,Wipro,Any
IT-100,QA Engineer,"testing, performance testing, automation, selenium, sql",7,Mid-level,Databricks,Any
IT-101,QA Engineer,"selenium, automation, sql, testing",12,Mid-Senior level,LinkedIn,Any
IT-102,QA Engineer,"testing, automation, selenium, sql, performance testing",5,Mid-level,Square,Any
IT-103,Test Automation Engineer,"ci/cd, java, python, junit",2,Junior,Cisco,Any
IT-104,Test Automation Engineer,"ci/cd, jenkins, junit, python, java",8,Mid-level,Twitter,Any
IT-105,Test Automation Engineer,"selenium, java, junit, python",10,Mid-Senior level,Salesforce,Any
IT-106,Manual QA Engineer,"testing, bug tracking, communication, sql",13,Mid-Senior level,Notion,Any
IT-107,Manual QA Engineer,"communication, excel, testing, sql",7,Mid-level,GitHub,Any
IT-108,Manual QA Engineer,"communication, sql, bug tracking, testing",12,Mid-Senior level,PwC,Any
IT-109,Performance Test Engineer,"jmeter, performance, sql, loadrunner, analysis",4,Junior,Accenture,Any
IT-110,Performance Test Engineer,"analysis, performance, loadrunner, sql, jmeter",12,Mid-Senior level,NVIDIA,Any
IT-111,Performance Test Engineer,"analysis, performance, sql, loadrunner",8,Mid-level,EY,Any
IT-112,Security Test Engineer,"scripting, penetration testing, owasp, networking",8,Mid-level,IBM,Any
IT-113,Security Test Engineer,"networking, security, owasp, scripting",8,Mid-level,CockroachDB,Any
IT-114,Security Test Engineer,"penetration testing, security, owasp, networking, scripting",3,Junior,Adobe,Any
IT-115,Technical Lead,"java, mentoring, architecture, sql, leadership",12,Mid-Senior level,Twitter,Any
IT-116,Technical Lead,"mentoring, leadership, architecture, java",15,Senior,VMware,Any
IT-117,Technical Lead,"mentoring, leadership, architecture, java, sql",17,Senior,TCS,Any
IT-118,Engineering Manager,"teamwork, java, sql, leadership",17,Senior,Salesforce,Any
IT-119,Engineering Manager,"sql, java, teamwork, leadership",12,Mid-Senior level,Square,Any
IT-120,Engineering Manager,"teamwork, java, sql, leadership",17,Senior,Shopify,Any
IT-121,Project Manager,"scrum, project management, communication, excel",15,Senior,Cognizant,Any
IT-122,Project Manager,"communication, scrum, excel, project management",13,Mid-Senior level,Broadcom,Any
IT-123,Project Manager,"project management, excel, agile, scrum",14,Senior,Microsoft,Any
IT-124,Product Manager,"analytics, sql, excel, product strategy, communication",20,Senior,Salesforce,Any
IT-125,Product Manager,"communication, analytics, excel, sql",10,Mid-Senior level,IBM,Any
IT-126,Product Manager,"excel, analytics, product strategy, sql",19,Senior,Accenture,Any
IT-127,Scrum Master,"communication, scrum, leadership, jira, agile",5,Mid-level,SendGrid,Any
IT-128,Scrum Master,"leadership, agile, scrum, communication",7,Mid-level,Cisco,Any
IT-129,Scrum Master,"jira, communication, scrum, leadership",2,Junior,GitHub,Any
IT-130,Technical Program Manager,"excel, agile, technical, program management, communication",9,Mid-Senior level,Stripe,Any
IT-131,Technical Program Manager,"excel, agile, program management, communication",15,Senior,Wipro,Any
IT-132,Technical Program Manager,"excel, communication, technical, program management",17,Senior,Intel,Any
IT-133,Software Architect,"sql, aws, java, system design, microservices",19,Senior,GitHub,Any
IT-134,Software Architect,"java, aws, microservices, sql",15,Senior,Meta,Any
IT-135,Software Architect,"aws, java, sql, system design, microservices",14,Senior,Square,Any
IT-136,Enterprise Architect,"enterprise design, system architecture, cloud, networking",17,Senior,Miro,Any
IT-137,Enterprise Architect,"enterprise design, cloud, sql, system architecture, networking",18,Senior,Broadcom,Any
IT-138,Enterprise Architect,"cloud, networking, system architecture, sql",15,Senior,Stripe,Any
IT-139,API Architect,"microservices, java, rest api, graphql",14,Senior,Palantir,Any
IT-140,API Architect,"graphql, rest api, microservices, system design, java",14,Senior,Apple,Any
IT-141,API Architect,"microservices, rest api, system design, java, graphql",17,Senior,TikTok,Any
IT-142,Database Architect,"nosql, database design, sql, scaling, performance",9,Mid-Senior level,Netflix,Any
IT-143,Database Architect,"nosql, scaling, performance, database design, sql",13,Mid-Senior level,IBM,Any
IT-144,Database Architect,"nosql, performance, scaling, database design",20,Senior,VMware,Any
IT-145,AI/ML Researcher,"research, tensorflow, python, statistics, pytorch",8,Mid-level,Salesforce,Any
IT-146,AI/ML Researcher,"research, deep learning, pytorch, statistics, tensorflow",12,Mid-Senior level,Cisco,Any
IT-147,AI/ML Researcher,"pytorch, statistics, tensorflow, deep learning, python",5,Mid-level,IBM,Any
IT-148,NLP Engineer,"nltk, machine learning, spacy, python, transformers",12,Mid-Senior level,Apple,Any
IT-149,NLP Engineer,"python, spacy, transformers, machine learning",4,Junior,Deloitte,Any
IT-150,NLP Engineer,"python, nlp, transformers, spacy, machine learning, nltk",11,Mid-Senior level,Tech Mahindra,Any
IT-151,Computer Vision Engineer,"deep learning, opencv, python, image processing",13,Mid-Senior level,Square,Any
IT-152,Computer Vision Engineer,"python, image processing, tensorflow, deep learning",6,Mid-level,Wipro,Any
IT-153,Computer Vision Engineer,"deep learning, opencv, tensorflow, python, image processing",7,Mid-level,Uber,Any
IT-154,Blockchain Developer,"cryptocurrency, ethereum, web3, smart contracts, solidity",12,Mid-Senior level,McKinsey,Any
IT-155,Blockchain Developer,"ethereum, cryptocurrency, solidity, web3",3,Junior,HCL,Any
IT-156,Blockchain Developer,"smart contracts, web3, ethereum, solidity, cryptocurrency",10,Mid-Senior level,Kafka,Any
IT-157,AR/VR Developer,"unity, c#, 3d graphics, c++, unreal engine",5,Mid-level,Kafka,Any
IT-158,AR/VR Developer,"unity, c#, 3d graphics, c++",2,Junior,AMD,Any
IT-159,AR/VR Developer,"unity, 3d graphics, unreal engine, c#",8,Mid-level,Roblox,Any
IT-160,IoT Developer,"embedded systems, networking, python, microcontrollers",3,Junior,Stripe,Any
IT-161,IoT Developer,"microcontrollers, python, networking, iot, embedded systems",6,Mid-level,Dropbox,Any
IT-162,IoT Developer,"networking, microcontrollers, embedded systems, iot",6,Mid-level,Oracle,Any
IT-163,Technical Writer,"documentation, api, technical knowledge, sql, communication",4,Junior,SendGrid,Any
IT-164,Technical Writer,"api, sql, technical knowledge, communication",9,Mid-Senior level,HCL,Any
IT-165,Technical Writer,"communication, technical knowledge, documentation, sql, api",3,Junior,Deloitte,Any
IT-166,Developer Advocate,"documentation, community, technical, coding, public speaking",4,Junior,Accenture,Any
IT-167,Developer Advocate,"documentation, technical, public speaking, community, coding",6,Mid-level,Spotify,Any
IT-168,Developer Advocate,"documentation, coding, community, technical, public speaking",4,Junior,Databricks,Any
IT-169,Support Engineer,"networking, linux, communication, technical support",6,Mid-level,SendGrid,Any
IT-170,Support Engineer,"networking, troubleshooting, technical support, linux",8,Mid-level,Meta,Any
IT-171,Support Engineer,"communication, networking, troubleshooting, linux, technical support",2,Junior,Capgemini,Any
IT-172,Technical Support Specialist,"windows, troubleshooting, customer service, networking",3,Junior,Stripe,Any
IT-173,Technical Support Specialist,"customer service, networking, troubleshooting, windows",2,Junior,Accenture,Any
IT-174,Technical Support Specialist,"customer service, networking, troubleshooting, windows",5,Mid-level,Notion,Any
IT-175,IT Consultant,"sql, consulting, system design, networking",12,Mid-Senior level,Snapchat,Any
IT-176,IT Consultant,"consulting, system design, sql, java, networking",3,Junior,Google,Any
IT-177,IT Consultant,"java, networking, system design, consulting",6,Mid-level,Amazon,Any
IT-178,Systems Engineer,"windows, networking, linux, automation",13,Mid-Senior level,Snapchat,Any
IT-179,Systems Engineer,"linux, networking, windows, system design",7,Mid-level,Broadcom,Any
IT-180,Systems Engineer,"windows, linux, automation, networking, system design",6,Mid-level,LinkedIn,Any
IT-181,Automation Engineer,"scripting, automation, ci/cd, jenkins, python",7,Mid-level,Apple,Any
IT-182,Automation Engineer,"python, scripting, ci/cd, automation",6,Mid-level,Cognizant,Any
IT-183,Automation Engineer,"scripting, automation, jenkins, ci/cd, python",6,Mid-level,Infosys,Any
IT-184,Release Manager,"version control, release management, deployment, jira, git",18,Senior,Miro,Any
IT-185,Release Manager,"version control, jira, deployment, git",9,Mid-Senior level,Confluent,Any
IT-186,Release Manager,"deployment, version control, git, release management, jira",20,Senior,Roblox,Any
IT-187,Integration Engineer,"sql, python, api integration, middleware, etl",12,Mid-Senior level,PwC,Any
IT-188,Integration Engineer,"api integration, middleware, python, sql, etl",2,Junior,Accenture,Any
IT-189,Integration Engineer,"middleware, sql, api integration, etl, python",2,Junior,Palantir,Any
IT-190,Business Intelligence Developer,"tableau, sql, power bi, analytics, etl",12,Mid-Senior level,Palantir,Any
IT-191,Business Intelligence Developer,"power bi, etl, sql, tableau, analytics",10,Mid-Senior level,Tesla,Any
IT-192,Business Intelligence Developer,"tableau, sql, etl, power bi, analytics",10,Mid-Senior level,NTT Data,Any
IT-193,Data Warehouse Engineer,"sql, redshift, snowflake, analytics, etl",5,Mid-level,Twitter,Any
IT-194,Data Warehouse Engineer,"sql, snowflake, etl, redshift, analytics",3,Junior,Intel,Any
IT-195,Data Warehouse Engineer,"analytics, sql, redshift, snowflake, etl",12,Mid-Senior level,LinkedIn,Any
IT-196,Middleware Engineer,"java, middleware, networking, messaging, enterprise",8,Mid-level,Shopify,Any
IT-197,Middleware Engineer,"enterprise, messaging, middleware, networking",4,Junior,Amazon,Any
IT-198,Middleware Engineer,"middleware, messaging, networking, enterprise",7,Mid-level,Palantir,Any
IT-199,Quality Assurance Manager,"sql, testing, qa management, leadership",20,Senior,Adobe,Any
IT-200,Quality Assurance Manager,"automation, sql, testing, leadership",11,Mid-Senior level,Stripe,Any
IT-201,Quality Assurance Manager,"automation, leadership, qa management, testing",19,Senior,Canva,Any
IT-202,Compliance Officer,"compliance, documentation, audit, security",8,Mid-level,Cognizant,Any
IT-203,Compliance Officer,"compliance, documentation, regulations, audit",7,Mid-level,Palantir,Any
IT-204,Compliance Officer,"compliance, documentation, security, regulations, audit",5,Mid-level,HashiCorp,Any
